actual_year,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_year,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1970,420.0,496.3,383.2,394.4,1693.8,1970,27.9,17.1,15.4,39.4,23.9
1971,407.4,459.1,466.2,259.1,1591.9,1971,24.1,8.3,40.4,-8.4,16.4
1972,257.2,327.4,291.9,231.3,1107.8,1972,-21.7,-22.8,-12.1,-18.2,-19.0
1973,398.8,284.3,323.5,322.8,1329.4,1973,21.4,-32.9,-2.6,14.1,-2.8
1974,333.6,559.9,402.0,335.5,1630.9,1974,1.6,32.1,21.1,18.6,19.3
1975,242.9,475.5,250.7,286.3,1255.4,1975,-26.0,12.1,-24.5,1.2,-8.2
1976,410.9,357.3,338.7,246.7,1353.7,1976,25.1,-15.7,2.0,-12.8,-1.0
1977,362.7,445.1,407.6,196.3,1411.7,1977,10.4,5.0,22.8,-30.6,3.2
1978,392.7,349.0,269.5,336.1,1347.4,1978,19.6,-17.7,-18.8,18.8,-1.5
1979,231.6,480.6,248.1,255.8,1216.1,1979,-29.5,13.3,-25.3,-9.6,-11.1
1980,344.9,428.9,395.0,280.1,1448.9,1980,5.0,1.2,19.0,-1,6.0
1981,268.4,510.2,327.3,237.0,1342.9,1981,-18.3,20.3,-1.4,-16.2,-1.8
1982,336.1,385.0,304.8,259.9,1285.8,1982,2.3,-9.2,-8.2,-8.1,-6.0
1983,301.1,423.1,334.5,343.2,1401.9,1983,-8.3,-0.2,0.8,21.3,2.5
1984,465.8,563.5,349.1,308.1,1686.5,1984,41.8,32.9,5.2,8.9,23.3
1985,359.4,509.4,316.0,314.2,1499.0,1985,9.4,20.1,-4.8,11.1,9.6
1986,305.8,404.9,306.2,349.0,1365.9,1986,-6.9,-4.5,-7.8,23.4,-0.1
1987,317.7,569.3,485.6,416.0,1788.6,1987,-3.3,34.3,46.3,47,30.8
1988,343.3,515.0,541.0,276.7,1676.0,1988,4.5,21.5,63.0,-2.2,22.6
1989,355.0,520.1,279.1,370.5,1524.7,1989,8.1,22.7,-15.9,31,11.5
1990,403.2,489.8,322.9,362.3,1578.1,1990,22.8,15.5,-2.7,28.1,15.4
1991,381.6,371.0,395.9,368.4,1516.9,1991,16.2,-12.5,19.2,30.2,10.9
1992,296.5,425.6,299.6,229.6,1251.3,1992,-9.7,0.4,-9.8,-18.8,-8.5
1993,404.4,418.5,429.5,336.0,1588.4,1993,23.1,-1.3,29.4,18.8,16.2
1994,335.3,318.0,307.6,193.5,1154.5,1994,2.1,-25.0,-7.3,-31.6,-15.6
1995,403.6,444.5,411.4,386.5,1646.0,1995,22.9,4.8,23.9,36.6,20.4
1996,318.5,406.5,398.6,207.1,1330.6,1996,-3.0,-4.1,20.1,-26.8,-2.7
1997,371.5,469.5,328.6,302.6,1472.3,1997,13.1,10.7,-1.0,7,7.7
1998,366.6,520.5,465.0,250.7,1602.8,1998,11.6,22.8,40.1,-11.4,17.2
1999,351.6,470.5,429.9,292.4,1544.3,1999,7.1,11.0,29.5,3.4,12.9
2000,368.3,334.7,337.3,359.9,1400.3,2000,12.1,-21.1,1.6,27.2,2.4
2001,351.1,327.9,266.6,254.3,1199.8,2001,6.9,-22.7,-19.7,-10.1,-12.3
2002,323.6,443.4,300.9,251.0,1318.9,2002,-1.5,4.6,-9.4,-11.3,-3.5
2003,387.5,407.4,292.9,234.2,1322.0,2003,18.0,-3.9,-11.8,-17.2,-3.3
2004,339.3,533.5,286.9,264.0,1423.8,2004,3.3,25.8,-13.6,-6.7,4.1
2005,236.2,383.5,355.1,189.9,1164.8,2005,-28.1,-9.6,7.0,-32.9,-14.8
2006,337.8,374.8,240.7,289.4,1242.6,2006,2.9,-11.6,-27.5,2.3,-9.1
2007,339.7,584.0,345.7,423.5,1692.9,2007,3.4,37.7,4.1,49.7,23.8
2008,390.6,425.3,388.6,211.5,1416.0,2008,18.9,0.3,17.0,-25.2,3.6
2009,197.6,316.3,378.8,206.4,1099.1,2009,-39.8,-25.4,14.1,-27,-19.6
2010,325.8,313.6,284.9,260.1,1184.4,2010,-0.8,-26.0,-14.2,-8.1,-13.4
2011,330.1,345.0,347.1,273.9,1296.0,2011,0.5,-18.6,4.5,-3.2,-5.2
2012,368.8,402.6,286.0,330.4,1387.9,2012,12.3,-5.0,-13.9,16.8,1.5
2013,256.9,289.9,300.0,222.5,1069.3,2013,-21.8,-31.6,-9.6,-21.4,-21.8
2014,266.1,319.1,382.7,277.9,1245.9,2014,-19.0,-24.7,15.3,-1.8,-8.9
2015,346.0,359.4,396.3,219.1,1320.7,2015,5.4,-15.2,19.4,-22.6,-3.4
2016,264.2,427.3,253.7,342.3,1287.5,2016,-19.5,0.8,-23.6,21,-5.8
2017,297.0,439.0,413.8,253.0,1402.8,2017,-9.6,3.5,24.6,-10.6,2.6
2018,257.3,333.7,277.0,212.0,1079.9,2018,-21.7,-21.3,-16.6,-25.1,-21.0
2019,224.8,474.7,215.3,330.2,1245.0,2019,-31.5,12.0,-35.2,16.7,-8.9
2020,403.5,476.5,287.3,351.1,1518.4,2020,22.9,12.4,-13.5,24.1,11.1
2021,359.6,322.3,350.4,213.2,1245.5,2021,9.5,-24.0,5.5,-24.6,-8.9
2022,400.9,234.6,244,244.2,1124.8,2022,22.1,-44.7,-26.5,-13.7,-17.7
